SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
MP-MDF-2436-WHITE,Americanflat Poster Frame 24x36 Inches - White Engineered Wood Picture Frame with Plexiglass Cover,27,558.11,USPS Ground Advantage $474.07; FedEx (service not itemized) $78.04; UPS Ground Saver $6.00,Carrier re-rate after label $480.07; Billed above label cost $78.04
WB2740WHT,Poster Frames | Polished Plexiglass | Wide Modern Design - Americanflat - 27x40 / White,4,548.25,FedEx (service not itemized) $548.25,Billed above label cost $548.25
WB2030LWOOD,Americanflat 20x30 Poster Frame in Light Wood with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,75,524.25,UPS Ground Saver $390.07; FedEx (service not itemized) $134.17,Carrier re-rate after label $390.07; Billed above label cost $134.17
WB2740BLK,Gallery Poster Frame without Mat | Epic Collection - 27x40 / Black,29,506.51,FedEx (service not itemized) $506.51,Billed above label cost $506.51
WMW2024BLK1620,"Americanflat 20x24 Picture Frame with Polished Plexiglass, Use as 16x20 Frame with Mat or 20x24 Frame Without Mat, Hudson Collection, Black",81,469.6,USPS Ground Advantage $287.05; UPS Ground Saver $145.78; FedEx (service not itemized) $36.78,Carrier re-rate after label $432.83; Billed above label cost $36.78
WMW2840PBRASS2436,Oversized Gallery Picture Frame with Mat | Hudson Collection - 28x40 / Gold,15,460.57,FedEx (service not itemized) $460.57,Billed above label cost $460.57
MW0824BLK,Americanflat 8x24 Picture Frame in Black - Composite Wood with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall,175,453.64,UPS Ground Saver $373.32; UPS (service not itemized) $65.46; FedEx (service not itemized) $8.14; USPS Ground Advantage $6.72,Carrier re-rate after label $427.87; Billed above label cost $25.77
WB2030BKPC,Poster Frames | Polished Plexiglass | Wide Modern Design - Americanflat - 20x30 / Black,30,444.1,UPS Ground Saver $292.22; FedEx (service not itemized) $107.61; UPS (service not itemized) $39.88; USPS Ground Advantage $4.39,Carrier re-rate after label $296.61; Billed above label cost $147.49
LX2840BLK2436,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 28x40 / Black,21,443.8,UPS Ground Saver $242.92; FedEx (service not itemized) $200.88,Carrier re-rate after label $242.92; Billed above label cost $200.88
WB2430BLK,"Americanflat 24x30 Picture Frame with Polished Plexiglass, Epic Collection, Gallery Wall Frames with Engineered Wood, Black",27,432.98,FedEx (service not itemized) $432.98,Billed above label cost $432.98
LX2840WHT2436,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 28x40 with 24x36 Mat / White / 1 Pack,17,403.16,FedEx (service not itemized) $403.16,Billed above label cost $403.16
LX1624BLKNOMAT,Americanflat 16x24 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,133,402.73,UPS Ground Saver $258.04; UPS (service not itemized) $89.76; FedEx (service not itemized) $31.51; USPS Ground Advantage $23.42,Carrier re-rate after label $356.82; Billed above label cost $45.91
WB2632BLK2228,Americanflat 26x32 Picture Frame  - Use as 22x28 Frame with Mat or Display 26x32 Photo Without Mat - Epic Collection - Black,18,395.1,FedEx (service not itemized) $395.10,Billed above label cost $395.10
LX2432BLKNOMAT,Americanflat 24x32 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,57,386.32,UPS Ground Saver $329.06; FedEx (service not itemized) $37.27; UPS (service not itemized) $20.00,Carrier re-rate after label $329.06; Billed above label cost $57.27
LX2840GLD2436,Americanflat 28x40 Poster Frame with Polished Plexiglass - 24x36 Frame with Mat or Display 28x40 Photo Without Mat - Streamline Collection - Gold,73,384.63,FedEx (service not itemized) $384.63,Billed above label cost $384.63
LX2228WHT1824,Americanflat 22x28 Poster Frame with Polished Plexiglass - Use as 18x24 Frame with Mat or 22x28 Frame Without Mat - Streamline Collection - White,42,352.97,UPS Ground Saver $258.91; USPS Ground Advantage $90.52; FedEx (service not itemized) $3.54,Carrier re-rate after label $349.43; Billed above label cost $3.54
DM1248DWOOD,Americanflat 15x51 Over The Door Mirror - Hanging Full Length Mirrors with Engineered Wood - Modern Mirror for Bedroom - Mirrors for Wall Display,18,351.76,FedEx (service not itemized) $351.76,Billed above label cost $351.76
LX1824BLK,Americanflat 18x24 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,119,350.98,UPS Ground Saver $301.71; FedEx (service not itemized) $42.57; UPS (service not itemized) $4.00; USPS Ground Advantage $2.70,Carrier re-rate after label $304.42; Billed above label cost $46.57
WB2840NAOAK2436,"Americanflat 28x40 Poster Frame with Polished Plexiglass, Use as 24x36 Frame with Mat or 28x40 Frame Without Mat, Epic Collection, Natural Oak",5,328.6,FedEx (service not itemized) $328.60,Billed above label cost $328.60
WB3040BLKPC,Poster Frames | Polished Plexiglass | Wide Modern Design - Americanflat - 30x40 / Black,11,328.2,FedEx (service not itemized) $328.20,Billed above label cost $328.20
WB2436BKPC,Americanflat 24x36 Poster Frame with Polished Plexiglass - Epic Collection - Gallery Wall Frames with Engineered Wood - Black,43,321.7,FedEx (service not itemized) $320.06; UPS (service not itemized) $1.64,Billed above label cost $321.70
MP-WPC-GSD-2024-BLACK-1620,"Americanflat 20x24 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",31,316.37,FedEx (service not itemized) $237.35; UPS Ground Saver $64.73; UPS (service not itemized) $9.00; USPS Ground Advantage $5.28,Billed above label cost $246.35; Carrier re-rate after label $70.02
WB2525BLK,Americanflat 25x25 Picture Frame  - Epic Collection - Square Picture Frame with Engineered Wood - Wide Photo Frames for Wall display - Black,10,304.87,FedEx (service not itemized) $304.87,Billed above label cost $304.87
MPCANFA281P17124362SET,Americanflat 24x36 Black and White Modern Canvas Wall Art - Set of 2,6,288.0,UPS Ground Saver $252.47; UPS (service not itemized) $35.53,Carrier re-rate after label $252.47; Billed above label cost $35.53
WMW2840MAH2436,Oversized Gallery Picture Frame with Mat | Hudson Collection - 28x40 / Brown,13,281.7,FedEx (service not itemized) $281.70,Billed above label cost $281.70
LX3040BLKNOMAT,"Americanflat 30x40 Poster Frame with Polished Plexiglass, Streamline Collection, Thin Border Picture Frame for Wall Display, , Black",26,273.63,UPS Ground Saver $137.72; FedEx (service not itemized) $132.91; USPS Ground Advantage $3.00,Carrier re-rate after label $140.72; Billed above label cost $132.91
WMW2424BLK2020,Americanflat 24x24 Picture Frame with Polished Plexiglass - Use as 20x20 Frame with Mat or 24x24 Frame Without Mat - Hudson Collection - Black,76,271.94,UPS Ground Saver $135.22; FedEx (service not itemized) $74.45; USPS Ground Advantage $56.72; UPS (service not itemized) $5.55,Carrier re-rate after label $180.09; Billed above label cost $91.85
WB2028BLK1624,"Americanflat 20x28 Picture Frame with Polished Plexiglass, Use as 16x24 Frame with Mat or 20x28 Frame Without Mat, Epic Collection, Black",44,263.55,UPS Ground Saver $191.76; FedEx (service not itemized) $30.99; UPS (service not itemized) $25.75; USPS Ground Advantage $15.06,Carrier re-rate after label $215.17; Billed above label cost $48.39
MW1436BLKNOMAT,Americanflat 14x36 Poster Frame  -- Gallery-Style Frames Made of Engineered Wood - Photo Frame for Wall Display - Black,42,256.54,UPS Ground Saver $194.80; FedEx (service not itemized) $28.16; USPS Ground Advantage $22.58; UPS (service not itemized) $11.00,Carrier re-rate after label $217.38; Billed above label cost $39.16
LX2020WHT810NF,Thin Border Picture Frame | Shatter-Resistant Plexiglass | Wall Art Display - 20x20 / White / 8x10,8,249.54,FedEx (service not itemized) $249.54,Billed above label cost $249.54
LX1236BLKNOMAT,Americanflat 12x36 Picture Frame with Polished Plexiglass - Thin Border Picture Frame for Wall Display - Hanging Hardware Included - Black,36,247.01,UPS Ground Saver $125.82; USPS Ground Advantage $89.52; FedEx (service not itemized) $25.67; UPS (service not itemized) $6.00,Carrier re-rate after label $215.34; Billed above label cost $31.67
LX2428BLK2024,"Americanflat 24x28 Picture Frame with Polished Plexiglass, Use as 20x24 Frame with Mat or 24x28 Frame Without Mat, Streamline Collection, ,  Black",23,244.97,USPS Ground Advantage $114.59; UPS Ground Saver $69.73; FedEx (service not itemized) $44.03; UPS (service not itemized) $16.62,Carrier re-rate after label $200.94; Billed above label cost $44.03
WMW1624PBRASS1218,Oversized Gallery Picture Frame with Mat | Hudson Collection - 16X24 / Gold / 12x18,3,236.91,FedEx (service not itemized) $236.91,Billed above label cost $236.91
MP-PVC-LX-1824-BLACK-810-3PK,Americanflat Picture Frame with Mat | Set of 3 | Slim Molding - 18 x 24 / Black,71,233.96,UPS Ground Saver $109.13; UPS (service not itemized) $68.26; FedEx (service not itemized) $56.57,Carrier re-rate after label $136.72; Billed above label cost $97.24
LX2424BLK1114,Americanflat 24x24 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 24x24 Frame Without Mat - Streamline Collection - Black,68,225.63,UPS Ground Saver $152.12; FedEx (service not itemized) $40.14; USPS Ground Advantage $21.18; UPS (service not itemized) $12.18,Carrier re-rate after label $185.49; Billed above label cost $40.14
WB1824DWOOD,Americanflat 18x24 Poster Frame in Driftwood with Polished Plexiglass-Horizontal and Vertical Formats with Included Hanging Hardware,78,217.57,UPS Ground Saver $170.30; FedEx (service not itemized) $34.33; UPS (service not itemized) $9.46; USPS Ground Advantage $3.48,Carrier re-rate after label $183.24; Billed above label cost $34.33
SIF2436BLK,Snap-In Poster Frame Without Mat - Americanflat - 24x36 / Black,9,216.03,FedEx (service not itemized) $134.50; UPS Ground Saver $46.52; USPS Ground Advantage $27.83; UPS (service not itemized) $7.18,Billed above label cost $134.50; Carrier re-rate after label $81.53
WMW2840GREY2436,"Americanflat 28x40 Picture Frame with Polished Plexiglass, Use as 24x36 Frame with Mat or 28x40 Frame Without Mat, Hudson Collection, Grey Wood",8,209.56,FedEx (service not itemized) $209.56,Billed above label cost $209.56
A281P227PILL1414SP,"Americanflat 14x14 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - Sepia",33,204.82,FedEx (service not itemized) $204.82,Billed above label cost $204.82
WB2436LWOODPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 24x36 / Lightwood,23,195.86,UPS Ground Saver $140.33; FedEx (service not itemized) $49.53; UPS (service not itemized) $6.00,Carrier re-rate after label $140.33; Billed above label cost $55.53
WMW2434BLK2030,"Americanflat 24x34 Poster Frame with Polished Plexiglass, Use as 20x30 Frame with Mat or 24x34 Frame without Mat, Hudson Collection, Black",29,191.09,FedEx (service not itemized) $191.09,Billed above label cost $191.09
MP-ALU-AL-1620-GOLD-1114,Americanflat Aluminum 16 x 20 Picture Frame - Gold,33,189.54,UPS Ground Saver $176.08; USPS Ground Advantage $7.50; FedEx (service not itemized) $3.96; UPS (service not itemized) $2.00,Carrier re-rate after label $183.58; Billed above label cost $5.96
WB1927BLKPC,"Americanflat 19x27 Poster frame, Black",30,187.13,UPS Ground Saver $163.88; UPS (service not itemized) $22.62; FedEx (service not itemized) $0.63,Carrier re-rate after label $180.50; Billed above label cost $6.63
CFF1020WHT357,Americanflat 5x7 Picture Frame Collage with Shatter-Resistant Glass - Fits Three 5x7 Photos or use as One 10x20 Picture Frame - White,34,182.45,USPS Ground Advantage $169.92; UPS Ground Saver $9.48; FedEx (service not itemized) $3.05,Carrier re-rate after label $179.40; Billed above label cost $3.05
MW0824WALNUT546,Americanflat 8x24 Collage Picture Frame with Five 4x6 Displays in Walnut - Composite Wood with Shatter Resistant Glass,28,181.33,USPS Ground Advantage $171.25; USPS (service not itemized) $9.84; FedEx (service not itemized) $0.24,Carrier re-rate after label $181.09; Billed above label cost $0.24
WMW1620BLK1216,"Americanflat 16x20 Picture Frame with Polished Plexiglass, Use as 12x16 Frame with Mat or 16x20 Frame Without Mat, Hudson Collection, Black",35,181.03,USPS Ground Advantage $108.46; FedEx (service not itemized) $60.16; USPS (service not itemized) $12.41,Carrier re-rate after label $127.41; Billed above label cost $53.62
MP-PVC-LX-2740-BLACK,Americanflat 27x40 Poster Frame - Perfect for Photos and Artwork - Black,10,178.97,FedEx (service not itemized) $178.97,Billed above label cost $178.97
MPCANGWA281P17223040,"Americanflat Canvas Wall Art Featuring Blue, Grey, Green and White Tones - Gallery Wrap - Lake Landscape Wall Art",3,176.51,UPS Ground Saver $176.51,Carrier re-rate after label $176.51
WB1620BLKPC1417,"Americanflat 16x20 Poster frame with Mat for 14x17, Black",59,174.88,UPS Ground Saver $160.68; USPS Ground Advantage $7.50; FedEx (service not itemized) $6.71,Carrier re-rate after label $168.17; Billed above label cost $6.71
LX2434BLK2030,Americanflat 24x34 Poster Frame with Polished Plexiglass - Use as 20x30 Frame with Mat or 24x34 Frame Without Mat - Streamline Collection - Black,25,174.68,UPS Ground Saver $135.11; FedEx (service not itemized) $39.55; UPS (service not itemized) $0.01,Carrier re-rate after label $135.11; Billed above label cost $39.56
WB2024WALNUT,Americanflat 20x24 Poster Frame in Walnut with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,38,172.76,UPS Ground Saver $167.87; FedEx (service not itemized) $4.90,Carrier re-rate after label $167.87; Billed above label cost $4.90
MPCANGWA281P17133040,Abstract Earth Tones Canvas Wall Art with Hand-Painted Accents and Gold Foil - Gallery Wrap - 30x40,4,171.98,UPS Ground Saver $171.98,Carrier re-rate after label $171.98
BSBLRNGDCBLK,Americanflat 12.9x15.5 Baseball Display Case Holds Up to 12 Baseballs or Champion Ring - Display Case with Polished Plexiglass - Black,25,169.1,UPS Ground Saver $95.82; USPS Ground Advantage $29.57; FedEx (service not itemized) $28.46; UPS (service not itemized) $15.25,Carrier re-rate after label $140.64; Billed above label cost $28.46
MP-PVC-LX-2027-BLACK,Americanflat 20x27 Poster Frame - Perfect for Photos and Artwork - Black,56,166.46,UPS Ground Saver $145.91; FedEx (service not itemized) $16.90; UPS (service not itemized) $3.65,Carrier re-rate after label $145.91; Billed above label cost $20.55
MP-PVC-LX-2230-BLACK,Americanflat 22x30 Poster Frame - Perfect for Photos and Artwork - Black,25,163.73,UPS Ground Saver $147.57; FedEx (service not itemized) $16.16,Carrier re-rate after label $147.57; Billed above label cost $16.16
LX1422BLKNOMAT,"Americanflat 14x22 Poster Frame with Polished Plexiglass, Streamline Collection, Thin Border Picture Frame for Wall Display, , Black",43,157.74,USPS Ground Advantage $104.14; UPS Ground Saver $40.38; UPS (service not itemized) $12.52; FedEx (service not itemized) $0.71,Carrier re-rate after label $152.60; Billed above label cost $5.13
WB2228WHPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 22x28 / White,16,157.15,USPS Ground Advantage $69.17; UPS Ground Saver $67.03; FedEx (service not itemized) $20.95,Carrier re-rate after label $136.20; Billed above label cost $20.95
WB2434BLK2030,Epic Matted Poster Frame - 24x34 / Black / 20x30,10,156.62,FedEx (service not itemized) $156.62,Billed above label cost $156.62
LX8511BLK,Americanflat 8.5x11 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border Photo Frame for Wall - Black,38,155.01,UPS Ground Saver $117.75; UPS (service not itemized) $31.90; USPS Ground Advantage $4.83; FedEx (service not itemized) $0.54,Carrier re-rate after label $145.76; Billed above label cost $9.26
LX1218BLK,Picture Frame | Slim Molding | Streamline Collection - 12x18 / Black,23,154.47,FedEx (service not itemized) $131.59; UPS Ground Saver $17.09; USPS Ground Advantage $5.79,Billed above label cost $131.59; Carrier re-rate after label $22.88
MW0824BK546,Americanflat Picture Frame | Collage | Five 4x6 Openings with Classic Molding | Signature Collection - 8x24 / Black,57,153.79,UPS Ground Saver $141.63; USPS Ground Advantage $9.85; UPS (service not itemized) $2.01; FedEx (service not itemized) $0.30,Carrier re-rate after label $153.49; Billed above label cost $0.30
CF1620BLK9OP,"Americanflat 16x20 Collage Picture Frame  - Multi Picture Frames Fit One 6x8, Four 5x7 and Four 4x4 Photos or Use as One 16x20 Frame -- Black",53,153.55,UPS Ground Saver $151.21; FedEx (service not itemized) $2.34,Carrier re-rate after label $151.21; Billed above label cost $2.34
WB2436MAHPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 24x36 / Mahogany,15,153.33,USPS Ground Advantage $92.96; FedEx (service not itemized) $54.37; UPS Ground Saver $6.00,Carrier re-rate after label $98.96; Billed above label cost $54.37
WB2424BLKPC,Americanflat 24x24 Poster Frame in Black with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,16,153.14,FedEx (service not itemized) $153.14,Billed above label cost $153.14
FLAGCASEBR,Americanflat Large Flag Display Case for Burial Flag - Fits Folded 5 x 9.5' Flag - Military Flag Case - Silhouette Collection - Mahogany,23,151.51,UPS Ground Saver $128.44; USPS Ground Advantage $15.85; FedEx (service not itemized) $7.22,Carrier re-rate after label $144.29; Billed above label cost $7.22
MW0824WHT546,Americanflat 8x24 Collage Picture Frame with Five 4x6 Displays in White - Composite Wood with Shatter Resistant Glass,35,150.48,USPS Ground Advantage $71.89; UPS Ground Saver $54.48; UPS (service not itemized) $23.31; FedEx (service not itemized) $0.80,Carrier re-rate after label $145.68; Billed above label cost $4.80
WB2228PBRASS,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 22x28 / Gold,9,149.29,UPS Ground Saver $115.97; FedEx (service not itemized) $33.32,Carrier re-rate after label $115.97; Billed above label cost $33.32
A2BLK,A-Sized Picture Frame | A Frames Collection | Modern Decor - A2 (16.5x23.4) / Black / 1 Pack,33,146.48,UPS Ground Saver $103.27; USPS Ground Advantage $23.42; FedEx (service not itemized) $19.79,Carrier re-rate after label $126.69; Billed above label cost $19.79
MP-PVC-LX-2026-BLACK,Americanflat 20x26 Poster Frame - Perfect for Photos and Artwork - Black,35,143.13,FedEx (service not itemized) $75.43; UPS Ground Saver $55.36; UPS (service not itemized) $9.82; USPS Ground Advantage $2.51,Billed above label cost $75.52; Carrier re-rate after label $67.60
MP-WPC-GSD-2228-WHITE-1824,"Americanflat 22x28 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - White",12,139.57,UPS Ground Saver $87.41; FedEx (service not itemized) $52.17,Carrier re-rate after label $87.41; Billed above label cost $52.17
GSD2228BLK1824,Gallery Picture Frame with Mat | Soho Collection - 22x28 / Black / 18x24,19,139.41,UPS Ground Saver $100.35; FedEx (service not itemized) $39.06,Carrier re-rate after label $100.35; Billed above label cost $39.06
LX3030BLKNOMAT,Poster Frame | Slim Molding | Streamline Collection - Black / 30x30,5,136.98,FedEx (service not itemized) $72.66; UPS Ground Saver $38.30; USPS Ground Advantage $26.02,Billed above label cost $72.66; Carrier re-rate after label $64.32
A3BK,Americanflat A3 Picture Frame with Shatter-Resistant Glass - 11.7x16.5 Frame with Engineered Wood - Signature Collection - Black,31,136.49,UPS Ground Saver $100.92; UPS (service not itemized) $18.57; FedEx (service not itemized) $14.64; USPS Ground Advantage $2.36,Carrier re-rate after label $121.66; Billed above label cost $14.83
MP-MDF-2030-WHITE,Americanflat Poster Frame 20x30 Inches - White Engineered Wood Picture Frame with Plexiglass Cover,11,135.22,USPS Ground Advantage $123.95; UPS Ground Saver $8.58; FedEx (service not itemized) $2.68,Carrier re-rate after label $132.53; Billed above label cost $2.68
WMW2228BLK1824,"Americanflat 22x28 Poster Frame with Polished Plexiglass, Use as 18x24 Frame with Mat or 22x28 Frame Without Mat, Hudson Collection, Black",44,133.69,FedEx (service not itemized) $127.69; UPS Ground Saver $6.00,Billed above label cost $127.69; Carrier re-rate after label $6.00
LX2024WHT1620,Americanflat 20x24 Picture Frame with Polished Plexiglass - Use as 16x20 Frame with Mat or 20x24 Frame Without Mat - Streamline Collection - White,53,132.24,UPS Ground Saver $105.69; USPS Ground Advantage $13.46; UPS (service not itemized) $8.71; FedEx (service not itemized) $4.37,Carrier re-rate after label $119.16; Billed above label cost $13.08
WB2632WHT2228,Epic Matted Poster Frame - 26x32 / White / 22x28,10,131.61,FedEx (service not itemized) $131.61,Billed above label cost $131.61
WB2638BLK,Gallery Poster Frame without Mat | Epic Collection - 26x38 / Black,6,130.35,FedEx (service not itemized) $130.35,Billed above label cost $130.35
WB2535BLK,"Americanflat 25x35 Poster Frame with Polished Plexiglass, Epic Collection, Gallery Wall Frames with Engineered Wood, Black",5,128.34,FedEx (service not itemized) $128.34,Billed above label cost $128.34
LX2228BLK,"Americanflat 22x28 Poster frame, Black",26,126.27,UPS Ground Saver $116.61; FedEx (service not itemized) $7.23; UPS (service not itemized) $1.67; USPS Ground Advantage $0.76,Carrier re-rate after label $119.04; Billed above label cost $7.23
MW1117BK,Americanflat 11x17 Picture Frame in Black - Legal Sized Paper Display - Composite Wood with Shatter Resistant Glass,32,122.01,UPS Ground Saver $93.70; FedEx (service not itemized) $17.93; UPS (service not itemized) $8.48; USPS Ground Advantage $1.90,Carrier re-rate after label $95.61; Billed above label cost $26.40
LX1224BLKNOMAT,Americanflat 12x24 Picture Frame with Polished Plexiglass - Streamline - Thin Border Picture Frame - Hanging Hardware Included - Black,40,121.33,UPS Ground Saver $69.10; USPS Ground Advantage $45.80; FedEx (service not itemized) $6.43,Carrier re-rate after label $114.90; Billed above label cost $6.43
WB2436PBRASSPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 24x36 / Gold,10,118.0,USPS Ground Advantage $62.81; FedEx (service not itemized) $55.19,Carrier re-rate after label $62.81; Billed above label cost $55.19
PS1114NAOAK8102PK,Americanflat 11x14 Picture Frame with Polished Plexiglass - Set of 2 - Use as 8x10 Frame with Mat or Display 11x14 Photo Without Mat - Galleria,29,114.92,FedEx (service not itemized) $114.92,Billed above label cost $114.92
343143029216837648,Americanflat 18x24 Kids Jersey Frame Display Case - Shadow Box Frame - Black,4,114.55,UPS Ground Saver $114.55,Carrier re-rate after label $114.55
CF1212BLK446,Americanflat 4x6 Collage Picture Frame with Shatter-Resistant Glass - Fits Four 4x6 Photos or Use as One 12x12 Picture Frame - Black,43,113.91,UPS Ground Saver $106.33; USPS Ground Advantage $5.18; FedEx (service not itemized) $2.39,Carrier re-rate after label $109.32; Billed above label cost $4.58
MP-PVC-LX-2525-BLACK,Americanflat 25x25 Poster Frame - Perfect for Photos and Artwork - Black,14,113.14,USPS Ground Advantage $59.86; FedEx (service not itemized) $22.55; UPS Ground Saver $16.61; UPS (service not itemized) $14.12,Carrier re-rate after label $97.39; Billed above label cost $15.75
SBD1114BLK,"Americanflat Front Opening 11x14 Shadow Box Frame with Shatter-Resistant Glass, Silhouette Collection, Shadow Box Display Case for Tabletop, Black",30,110.95,USPS Ground Advantage $71.33; UPS Ground Saver $30.17; UPS (service not itemized) $6.12; FedEx (service not itemized) $3.33,Carrier re-rate after label $101.50; Billed above label cost $9.45
WB1824BKPC,Americanflat 18x24 inch Black Poster Frame | Polished Plexiglass. Hanging Hardware Included!,25,107.4,UPS Ground Saver $62.13; FedEx (service not itemized) $35.90; UPS (service not itemized) $5.62; USPS Ground Advantage $3.75,Carrier re-rate after label $65.88; Billed above label cost $41.52
MP-PVC-LX-1236-BLACK,Americanflat 12x36 Poster Frame - Perfect for Photos and Artwork - Black,13,107.0,USPS Ground Advantage $54.97; UPS (service not itemized) $35.81; UPS Ground Saver $16.22,Carrier re-rate after label $83.00; Billed above label cost $24.00
MP-PVC-LX-1216-BLACK,Americanflat 12x16 Poster Frame - Perfect for Photos and Artwork - Black,23,105.1,UPS Ground Saver $77.68; FedEx (service not itemized) $12.22; USPS Ground Advantage $7.91; UPS (service not itemized) $7.29,Carrier re-rate after label $84.54; Billed above label cost $20.56
LX1216BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 12x16,43,103.88,UPS Ground Saver $91.33; FedEx (service not itemized) $9.52; USPS Ground Advantage $3.03,Carrier re-rate after label $87.86; Billed above label cost $16.03
CF2020BLK11OP,"Americanflat 20x20 Collage Picture Frame  - Multi Picture Frames Fit One 8x10, Four 5x5 and Six 4x6 Photos or Use as One 20x20 Frame -- Black",37,101.84,UPS Ground Saver $81.93; USPS (service not itemized) $8.44; USPS Ground Advantage $5.26; UPS (service not itemized) $4.38; FedEx (service not itemized) $1.83,Carrier re-rate after label $95.63; Billed above label cost $6.21
WB1722BLKPC,"Americanflat 17x22 Poster frame, Black",46,101.11,UPS Ground Saver $61.25; FedEx (service not itemized) $26.33; UPS (service not itemized) $9.73; USPS Ground Advantage $3.80,Carrier re-rate after label $74.78; Billed above label cost $26.33
WB1824WALNUT,Americanflat 18x24 Poster Frame in Walnut with Polished Plexiglass-Horizontal and Vertical Formats with Included Hanging Hardware,35,100.88,UPS Ground Saver $72.17; UPS (service not itemized) $17.69; FedEx (service not itemized) $11.02,Carrier re-rate after label $89.86; Billed above label cost $11.02
